,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
205,15/9-F-14,5351,2011,Mar,732.5,56709.96,8733754.97,117498.23,0.0,0.0
206,15/9-F-14,5351,2011,Apr,717.66667,51814.24,8052242.88,122053.6,0.0,0.0
207,15/9-F-14,5351,2011,May,741.25,51121.62,7972927.68,129331.86,0.0,0.0
208,15/9-F-14,5351,2011,Jun,465.175,31194.51,4835912.15,81258.77,0.0,0.0
209,15/9-F-14,5351,2011,Jul,254.50833,20211.31,3064565.93,42012.13,0.0,0.0
210,15/9-F-14,5351,2011,Aug,652.325,49730.28,7681607.89,108934.77,0.0,0.0
211,15/9-F-14,5351,2011,Sep,708.0,51053.13,8021384.18,133957.61,0.0,0.0
212,15/9-F-14,5351,2011,Oct,327.07499,21807.23,3406338.4,56487.87,0.0,0.0
213,15/9-F-14,5351,2011,Nov,464.30833,35043.89,5381237.58,73586.39,0.0,0.0
214,15/9-F-14,5351,2011,Dec,436.65001,34166.4,5142969.72,74442.9,0.0,0.0
215,15/9-F-14,5351,2012,Jan,363.81667,27309.23,4156158.72,57518.38,0.0,0.0
216,15/9-F-14,5351,2012,Feb,692.66666,36797.66,5598558.93,55275.84,0.0,0.0
217,15/9-F-14,5351,2012,Mar,740.83334,34745.59,5378188.67,60225.91,0.0,0.0
218,15/9-F-14,5351,2012,Apr,720.0,36509.79,5673229.82,72811.24,0.0,0.0
219,15/9-F-14,5351,2012,May,741.08334,35051.96,5495387.93,82877.31,0.0,0.0
220,15/9-F-14,5351,2012,Jun,711.16667,31665.55,4980411.28,80184.2,0.0,0.0
221,15/9-F-14,5351,2012,Jul,744.0,32960.7,5181262.48,83969.56,0.0,0.0
222,15/9-F-14,5351,2012,Aug,288.625,12689.84,1974233.52,33257.32,0.0,0.0
223,15/9-F-14,5351,2012,Sep,30.78333,1655.08,245981.03,2918.19,0.0,0.0
224,15/9-F-14,5351,2012,Oct,610.175,33944.02,5155057.85,60061.38,0.0,0.0
225,15/9-F-14,5351,2012,Nov,720.0,34931.66,5485685.31,87226.64,0.0,0.0
226,15/9-F-14,5351,2012,Dec,710.99999,30122.89,4854889.04,93523.46,0.0,0.0
227,15/9-F-14,5351,2013,Jan,744.0,30184.8,4834717.2,99784.43,0.0,0.0
228,15/9-F-14,5351,2013,Feb,667.91667,26595.53,4196331.85,92120.59,0.0,0.0
229,15/9-F-14,5351,2013,Mar,508.30167,18816.52,2783792.79,70618.72,0.0,0.0
230,15/9-F-14,5351,2013,Apr,557.33333,22875.42,3676256.95,79450.26,0.0,0.0
231,15/9-F-14,5351,2013,May,733.50001,27661.53,4525932.12,109553.2,0.0,0.0
232,15/9-F-14,5351,2013,Jun,630.08333,22298.26,3652742.89,93413.24,0.0,0.0
233,15/9-F-14,5351,2013,Jul,660.84167,22602.78,3553396.55,94589.45,0.0,0.0
234,15/9-F-14,5351,2013,Aug,687.825,21666.9,3259563.55,91453.17,0.0,0.0
235,15/9-F-14,5351,2013,Sep,626.825,17870.72,2707856.27,92677.05,0.0,0.0
236,15/9-F-14,5351,2013,Oct,658.66666,18441.11,2757135.18,96753.57,0.0,0.0
237,15/9-F-14,5351,2013,Nov,681.25,19248.66,2853579.7,103737.87,0.0,0.0
